
1856: & Feb. 29,Maid of the Yarra ,-,Launceston,3,
1856: Apr. 7,Earl of Sefton ,Liverpool,Launceston,33,
1856: Apr. 23,Irene,London,Hobart,6,
1856: Jun. 6,Champion of the Seas ,Liverpool,Hobart,2,
1856: Jun. 7,Royal Shepherd,-,Launceston,5,
1856: & Jun. 20,City of Hobart,-,Hobart,1,
1856: Jul. 5,James Baines ,Liverpool,Hobart,4,
1856: Jul. 6,Shalimar,Liverpool,Launceston,5,
1856: Sep. 5,Cleo,Liverpool,Hobart,6,
1856: Nov. 7,Eagle ,Liverpool,Hobart,1,
1856: Dec. 2,Sir W. F. Williams,Liverpool,Hobart,336,
1856: Dec. 29,Woodcote,London,Hobart,62,
1856: Dec. 30,Alice Walton,Liverpool,Launceston,294,
1857: Jan. 27,Neumublen,Hamburg,Hobart,3,
1857: Jan. 27,Great Tasmania,Liverpool,Hobart,522,
1857: Feb. 1,Ambrosine,London,Launceston,62,
1857: Mar. 17,Mercia,London,Hobart,53,
1857: Apr. 1,Broomielaw,Glasgow,Launceston,264,
1857: Jun. 1,Frotune,Liverpool,Launceston,121,
1857: Jul. 1,Prompt,Liverpool,Hobart,156,
1857: Jul. 21,Forest Monarch,Glasgow,Launceston,144,
1857: Jul. 25,Oriental,London,Hobart,67,
1857: Aug. 18,Sir W. F. Williams,Liverpool,Hobart,145,
1857: Aug. 28,Southern Eagle,Liverpool,Launceston,229,
1857: Sep. 13,Antipodes,London,Hobart,1,
1857: Oct. 3,Affiance,London,Launceston,4,
1857: Oct. 12,D. F. Weber Senior,Hamburge,Hobart,24,
1857: Oct. 31,Persian,Liverpool,Hobart,194,
1858: Jan. 4,Aurora Australis,London,Hobart,68,
1858: Jan. 8,Pirate,London,Launceston,6,
1858: Feb. 22,Trade Wind,London,Hobart,292,
1858: Aug. 18,Constance ,Gravesend via The Downs,Hobart,192,
1858: Sep. 13,Antipodes,London,Hobart,3,
1858: Nov. 16,Champion of the Seas ,Liverpool,Launceston,2,
1858: Nov. 26,Eastern City ,-,Hobart,2,
1859: Jan. 1,Aurora Australis,London,Hobart,1,
1859: Jan. 14,Florence Nightingale ,Liverpool,Hobart,3,
1859: Mar. 25,Indus,London,Hobart,3,
1859: May 20,Marco Polo,Liverpool via Melbourne,Hobart,3,
1859: Jun. 26,Broadwater,London,Hobart,10,
1859: Jul. 24,Suffolk,London,Launceston,1,
1859: Aug. 5,Peter Maxwell ,Liverpool,Melbourne,11,
1859: Aug. 6,Primula,London,Hobart,1,
1859: Aug. 12,Vater Smydt ,Liverpool,Hobart,1,
1859: Aug. 12,Sir William Ayre ​,Liverpool,London,1,
1859: Aug. 31,Morning Light ,Liverpool,Launceston,14,
1859: & Sep. 7,City of Hobart,-,Hobart,43,
1859: Sep. 9,Oriental,London,Hobart,139,
1859: Oct. 3,Argonaut,Liverpool,Launceston,15,
1859: Oct. 5,Heather Bell,London,Hobart,1,
1859: Oct. 7,Saldanha ,Liverpool,Hobart,3,
1859: Oct. 7,Ida,Liverpool,Hobart,7,
